case_key,case_label,time_index,local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,areal_heat_capacity_J_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,dT_dt_min_K_s,dT_dt_mean_K_s,dT_dt_max_K_s,net_flux_min_W_m2,net_flux_mean_W_m2,net_flux_max_W_m2
spring_equinox,Spring equinox,0,2026-03-20T00:00:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,1,2026-03-20T00:10:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,2,2026-03-20T00:20:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,3,2026-03-20T00:30:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,4,2026-03-20T00:40:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,5,2026-03-20T00:50:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,6,2026-03-20T01:00:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,7,2026-03-20T01:10:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,8,2026-03-20T01:20:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
spring_equinox,Spring equinox,9,2026-03-20T01:30:00+04:00,2.0,18.0,5.0,36450.0,0,0.0,0.0,,16.343400888813903,16.343400888813903,16.343400888813903,,-1.6565991111860967,-1.6565991111860967,-1.6565991111860967,9.746813933609056e-20,9.746813933609056e-20,9.746813933609056e-20,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15
